Marital_Status,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth
Divorced,324.8448275862069,27.426724137931036,150.20689655172413,35.043103448275865,26.81896551724138,46.28879310344828,2.435344827586207,4.310344827586207,2.6724137931034484,5.818965517241379,5.487068965517241
Married,299.4803240740741,25.734953703703702,160.68171296296296,35.38078703703704,26.70138888888889,42.822916666666664,2.392361111111111,4.087962962962963,2.625,5.850694444444445,5.364583333333333
Single,287.74220374220374,26.794178794178794,181.77962577962577,38.17671517671518,27.234927234927234,43.67983367983368,2.135135135135135,3.871101871101871,2.5945945945945947,5.636174636174636,5.284823284823285
Together,306.82586206896553,25.35,168.10344827586206,38.991379310344826,26.122413793103448,42.994827586206895,2.3241379310344827,4.0810344827586205,2.6758620689655173,5.7362068965517246,5.260344827586207
Widow,369.27272727272725,33.09090909090909,189.28571428571428,51.38961038961039,39.01298701298701,56.76623376623377,2.3376623376623376,4.623376623376624,3.324675324675325,6.415584415584416,4.883116883116883
